年,区分00,区分01,在留資格,罪種00,罪種01,推定検挙人員
2019,外国人,永住者等,計,その他の刑法犯,計,256.57232087621634
2019,外国人,永住者等,計,凶悪犯,計,41.04073735526301
2019,外国人,永住者等,計,知能犯,計,109.93041231327534
2019,外国人,永住者等,計,窃盗犯,計,816.4925346334055
2019,外国人,永住者等,計,粗暴犯,計,528.8378981825177
2019,外国人,永住者等,計,風俗犯,計,55.406634530934426
2020,外国人,来日外国人,計,その他の刑法犯,計,623.1111576165903
2020,外国人,来日外国人,計,凶悪犯,計,124.0554323246561
2020,外国人,来日外国人,計,知能犯,計,296.22484576574624
2020,外国人,来日外国人,計,窃盗犯,計,1477.079024750099
2020,外国人,来日外国人,計,粗暴犯,計,1138.0635172134284
2020,外国人,来日外国人,計,風俗犯,計,133.2550727979956
2020,外国人,永住者等,計,その他の刑法犯,計,247.41851412345986
2020,外国人,永住者等,計,凶悪犯,計,41.82925270716254
2020,外国人,永住者等,計,知能犯,計,107.68466100035785
2020,外国人,永住者等,計,窃盗犯,計,775.7573184233974
2020,外国人,永住者等,計,粗暴犯,計,501.9728061267624
2020,外国人,永住者等,計,風俗犯,計,54.64509496170027
2021,外国人,来日外国人,計,その他の刑法犯,計,487.7372022837558
2021,外国人,来日外国人,計,凶悪犯,計,115.91499240215705
2021,外国人,来日外国人,計,知能犯,計,364.5065416285309
2021,外国人,来日外国人,計,窃盗犯,計,1270.9488106517813
2021,外国人,来日外国人,計,粗暴犯,計,998.590445396665
2021,外国人,来日外国人,計,風俗犯,計,131.37694277616004
2021,外国人,永住者等,計,その他の刑法犯,計,224.59255290155443
2021,外国人,永住者等,計,凶悪犯,計,40.12122093136043
2021,外国人,永住者等,計,知能犯,計,124.3201094401823
2021,外国人,永住者等,計,窃盗犯,計,750.8412528702695
2021,外国人,永住者等,計,粗暴犯,計,481.2274849000006
2021,外国人,永住者等,計,風俗犯,計,56.52591545986266
2022,外国人,来日外国人,計,その他の刑法犯,計,523.1806112543505
2022,外国人,来日外国人,計,凶悪犯,計,116.65669736319033
2022,外国人,来日外国人,計,知能犯,計,409.657256946758
2022,外国人,来日外国人,計,窃盗犯,計,1307.4826594624647
2022,外国人,来日外国人,計,粗暴犯,計,1084.585018762642
2022,外国人,来日外国人,計,風俗犯,計,147.21176277420213
2022,外国人,永住者等,計,その他の刑法犯,計,223.79432647217274
2022,外国人,永住者等,計,凶悪犯,計,40.13030798333418
2022,外国人,永住者等,計,知能犯,計,125.8142671773959
2022,外国人,永住者等,計,窃盗犯,計,719.5466373045572
2022,外国人,永住者等,計,粗暴犯,計,491.610266785879
2022,外国人,永住者等,計,風俗犯,計,57.94774583379409
2023,外国人,来日外国人,計,その他の刑法犯,計,720.1655619466927
2023,外国人,来日外国人,計,凶悪犯,計,181.00627202230615
2023,外国人,来日外国人,計,知能犯,計,463.2400531362736
2023,外国人,来日外国人,計,窃盗犯,計,1872.3067995666393
2023,外国人,来日外国人,計,粗暴犯,計,1499.9829587630616
2023,外国人,来日外国人,計,風俗犯,計,235.90158938935318
2023,外国人,永住者等,計,その他の刑法犯,計,244.3122347313949
2023,外国人,永住者等,計,凶悪犯,計,49.60734284756881
2023,外国人,永住者等,計,知能犯,計,124.62609705533684
2023,外国人,永住者等,計,窃盗犯,計,791.2835813239866
2023,外国人,永住者等,計,粗暴犯,計,546.0945660409528
2023,外国人,永住者等,計,風俗犯,計,73.83825820554563
2024,外国人,来日外国人,計,その他の刑法犯,計,906.2078305394131
2024,外国人,来日外国人,計,凶悪犯,計,299.2800926629872
2024,外国人,来日外国人,計,知能犯,計,521.6055497973034
2024,外国人,来日外国人,計,窃盗犯,計,2346.9494009683076
2024,外国人,来日外国人,計,粗暴犯,計,1803.2700367076616
2024,外国人,来日外国人,計,風俗犯,計,479.14915793302924
2024,外国人,永住者等,計,その他の刑法犯,計,255.93990614850898
2024,外国人,永住者等,計,凶悪犯,計,64.3315498622343
2024,外国人,永住者等,計,知能犯,計,123.0364869473851
2024,外国人,永住者等,計,窃盗犯,計,831.9197151367099
2024,外国人,永住者等,計,粗暴犯,計,545.5721645555619
2024,外国人,永住者等,計,風俗犯,計,121.67135570228324
2013,外国人,来日外国人,計,凶悪犯,不同意性交等,18.42554488807111
2013,外国人,来日外国人,計,凶悪犯,強盗,37.66951249111137
2013,外国人,来日外国人,計,凶悪犯,放火,7.1259255196151035
2013,外国人,来日外国人,計,凶悪犯,殺人,12.025630258829278
2013,外国人,永住者等,計,凶悪犯,不同意性交等,8.867986415988863
2013,外国人,永住者等,計,凶悪犯,強盗,19.884617865864453
2013,外国人,永住者等,計,凶悪犯,放火,5.172419207365496
2013,外国人,永住者等,計,凶悪犯,殺人,8.374215106443513
2014,外国人,来日外国人,計,凶悪犯,不同意性交等,19.552661290245737
2014,外国人,来日外国人,計,凶悪犯,強盗,37.726540925996254
2014,外国人,来日外国人,計,凶悪犯,放火,8.057923913247551
2014,外国人,来日外国人,計,凶悪犯,殺人,13.177143996056511
2014,外国人,永住者等,計,凶悪犯,不同意性交等,8.688191308501452
2014,外国人,永住者等,計,凶悪犯,強盗,18.749836945834367
2014,外国人,永住者等,計,凶悪犯,放火,5.828072148700479
2014,外国人,永住者等,計,凶悪犯,殺人,8.983708025717243
2015,外国人,来日外国人,計,凶悪犯,不同意性交等,22.80467433155235
2015,外国人,来日外国人,計,凶悪犯,強盗,39.89566270087392
2015,外国人,来日外国人,計,凶悪犯,放火,9.417632669273392
2015,外国人,来日外国人,計,凶悪犯,殺人,13.904860293807985
2015,外国人,永住者等,計,凶悪犯,不同意性交等,9.012335562724273
2015,外国人,永住者等,計,凶悪犯,強盗,17.846058179075484
2015,外国人,永住者等,計,凶悪犯,放火,5.690788811763616
2015,外国人,永住者等,計,凶悪犯,殺人,8.773241935575044
2016,外国人,来日外国人,計,凶悪犯,不同意性交等,23.686830241148595
