調査年度,能力項目,在留資格,回答者数,選択肢順,選択肢,割合,割合_pct,出典ファイル,出典ページ,出典表
2024,書く,技能実習,968,5,名前や住所などを書くことができる,0.393,39.3,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,技能実習,968,6,全くできない,0.033,3.3,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,留学,611,1,明瞭で流ちょうな文章を書くことができる,0.1,10.0,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,留学,611,2,詳しい説明文を書くことができる,0.177,17.7,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,留学,611,3,日常生活のEメールなどを書くことができる,0.401,40.1,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,留学,611,4,短いメモやメッセージを書くことができる,0.245,24.5,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,留学,611,5,名前や住所などを書くことができる,0.047,4.7,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,留学,611,6,全くできない,0.029,2.9,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,家族滞在,634,1,明瞭で流ちょうな文章を書くことができる,0.019,1.9,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,家族滞在,634,2,詳しい説明文を書くことができる,0.035,3.5,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,家族滞在,634,3,日常生活のEメールなどを書くことができる,0.156,15.6,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,家族滞在,634,4,短いメモやメッセージを書くことができる,0.366,36.6,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,家族滞在,634,5,名前や住所などを書くことができる,0.306,30.6,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,家族滞在,634,6,全くできない,0.118,11.8,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定活動,118,1,明瞭で流ちょうな文章を書くことができる,0.051,5.1,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定活動,118,2,詳しい説明文を書くことができる,0.119,11.9,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定活動,118,3,日常生活のEメールなどを書くことができる,0.212,21.2,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定活動,118,4,短いメモやメッセージを書くことができる,0.195,19.5,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定活動,118,5,名前や住所などを書くことができる,0.203,20.3,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,特定活動,118,6,全くできない,0.22,22.0,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,永住者,2088,1,明瞭で流ちょうな文章を書くことができる,0.13,13.0,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,永住者,2088,2,詳しい説明文を書くことができる,0.107,10.7,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,永住者,2088,3,日常生活のEメールなどを書くことができる,0.224,22.4,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,永住者,2088,4,短いメモやメッセージを書くことができる,0.258,25.8,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,永住者,2088,5,名前や住所などを書くことができる,0.186,18.6,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,永住者,2088,6,全くできない,0.095,9.5,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,日本人の配偶者等,455,1,明瞭で流ちょうな文章を書くことができる,0.059,5.9,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
2024,書く,日本人の配偶者等,455,2,詳しい説明文を書くことができる,0.097,9.7,001436052.pdf,85,図表．【在留資格別】日本語能力（書く）（単一回答）
